Name,Description,Website,Theme,Focus Area,Opportunity Space,Play,Business Model Option,Friction Point,Business Model,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Relevance,Inc. Compass,Hero,Investors,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result
Focusmate,Virtual co-working which connects other professionals who have committed to being accountable for finishing their most important work,https://www.focusmate.com/ ,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,Amasia,,0.3,,0,0,0.7,,0,0,Not Complete
Teemly,"Virtual office connecting distributed teams: see what’s going on in the ""office""; co-work ""side by side""; grab a coffee with a colleague in the ""coffee room"" etc.",https://teemly.net/ ,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,Antler,,0.3,,0,0,0.7,,0,0,Not Complete
Remotion,Desktop app that shows your team’s selfies and availability so you can jump into quick video chats,https://www.remotion.com/ ,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Pragli,"Virtual office for remote teams, enabling remote workers to dive into impromptu conversations with audio channels & direct conversations, walkie talkie style",https://pragli.com/ ,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Fuze,"Unified communications platform that enables simplified business voice communications, flexible video conferencing, and always-on collaboration",https://www.fuze.com/#,,,,,,,,,,,,,Yes,,"$480,400,000.00",,Not Complete,,,FALSE,FALSE,"Summit Partners, Bessemer, TCV, Wellington Management",,0.3,,0,,0.7,,0,0,Not Complete
Dialpad,"Business phone system that turns your conversations into something you can see and use, so you understand, remember, and learn from everything that’s said",https://www.dialpad.com/,,,,,,,,,,,,,Yes,,"$120,000,000.00",,Not Complete,,,FALSE,FALSE,"Andreessen Horowitz, GV, ICONIQ Capital",,0.3,,0,,0.7,,0,0,Not Complete
Chorus,Twist to videocalls: Making video calls milestone-based & trackable to assess sales performance,https://www.chorus.ai/,,,,,,,,,,,,,Yes,,"$55,300,000.00",,Not Complete,,,FALSE,FALSE,"Georgian Partners, Redpoint, Emergence, Gil Dibner",,0.3,,0,,0.7,,0,0,Not Complete
Loom,"A video messaging app that lets users record short videos, rather than type long emails or spend time in meetings, to get their ideas across",https://www.loom.com/,,,,,,,,,,,,,Yes,,"$44,300,000.00",,Not Complete,,,FALSE,FALSE,"Sequoia, Kleiner Perkins, Point Nine, Mathilde Collin, Daniel Gross",,0.3,,0,,0.7,,0,0,Not Complete
StarLeaf,"Enables seamless collaboration through intelligently engineered, reliable meeting room systems, superior video conferencing, and secure messaging",https://www.starleaf.com/,,,,,,,,,,,,,Yes,,"$40,000,000.00",,Not Complete,,,FALSE,FALSE,"Grafton Capital, Highland Europe, Future Fifty",,0.3,,0,,0.7,,0,0,Not Complete
Otter.ai,"Capture, search and share meetings, lectures and live events",https://otter.ai/,,,,,,,,,,,,,Yes,,"$23,000,000.00",,Not Complete,,,FALSE,FALSE,"Horizons Ventures, Draper Associates, Slow Ventures, GGV Capital",,0.3,,0,,0.7,,0,0,Not Complete
OwlLabs,A smart and visually appealing video conferencing camera (hardware+software),https://www.owllabs.com/,,,,,,,,,,,,,Yes,,"$22,300,000.00",,Not Complete,,,FALSE,FALSE,"Spark, Matrix Partners, Playground Global",,0.3,,0,,0.7,,0,0,Not Complete
Around,"Took video meetings and made them less intrusive, less clunky. Gives you a clear view of your teammates while making space for work",https://www.around.co/,,,,,,,,,,,,,Yes,,"$5,200,000.00",,Not Complete,,,FALSE,FALSE,"Floodgate, Credo Ventures, Initialized Capital, Naval Ravikant, Ryan Hoover",,0.3,,0,,0.7,,0,0,Not Complete
Fireflies.ai,"Making video calls searchable; SaaS tool for automated notes from online meetings; Automatically record, transcribe and collaborate across your meetings",https://fireflies.ai/,,,,,,,,,,,,,Yes,,"$5,100,000.00",,Not Complete,,,FALSE,FALSE,"Acceleprise, Canaan Partners, Susan Kimberlin, April Underwood",,0.3,,0,,0.7,,0,0,Not Complete
Krisp,Makes remote workers more professional allowing them to take calls from wherever they want without worrying about privacy and background noise,https://krisp.ai/,,,,,,,,,,,,,Yes,,"$3,500,000.00",,Not Complete,,,FALSE,FALSE,"Granatus Ventures, Sierra Ventures, Shanda Group, HIVE Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Demodesk,"Online meeting tool for inside sales and CS teams solving the screen sharing pain: no downloads, content shared on a virtual display, instant control sharing",https://demodesk.com/,,,,,,,,,,,,,Yes,,"$2,600,000.00",,Not Complete,,,FALSE,FALSE,"YCombinator, Global Founders Capital, Kleiner Perkins, FundersClub",,0.3,,0,,0.7,,0,0,Not Complete
Grain,"Record & share the best parts of your Zoom video calls. Take notes together. Create video highlights. Share clips anywhere (Twitter, DIscord, Notion, Slack etc.)",https://www.grain.co/,,,,,,,,,,,,,Yes,,"$4,000,000.00",,Not Complete,,,FALSE,FALSE,"Acrew,  Founder Collective, Slack Fund, Sriram Krishnan, Andreas Klinger",,0.3,,0,,0.7,,0,0,Not Complete
Whereby,"Collaboration tool for easy video meetings. No downloads, no logins",https://whereby.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
GitDuck,Code sharing and screen recorder software for developers to create videos that are linked to their code,https://gitduck.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,WorkLife Ventures,,0.3,,0,0,0.7,,0,0,Not Complete
Coscreen,"Turns your second screen into your joint team desktop. Share windows via drag & drop, collaborate via mouse & keyboard, each user gets their own mouse pointer",https://www.coscreen.co/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
RemoteHQ,"Work together in ways that go beyond video chat. Co-browse and co-edit any web app, share files, take notes, whiteboard, screen share, video chat, and more",https://www.remotehq.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
HappyScribe,Automatic transcription software; automatic subtitling tool; video & audio to text in minutes; available in + 119 languages and accents,https://www.happyscribe.co/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Standups,A not too dissimilar concept from Yac & Loom; SaaS for asynchronous video standups,https://standups.io/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
x.ai,Artificial intelligence driven personal assistant who schedules meetings for you,https://x.ai/,,,,,,,,,,,,,Yes,,"$44,300,000.00",,Not Complete,,,FALSE,FALSE,"Softbank, IA Ventures, Pegasus Tech Ventures, Tuesday Capital",,0.3,,0,,0.7,,0,0,Not Complete
Robin,"Giving everyone the ability to understand, use, and advance their workplace. Space scheduling, desk management, wayfinding, and office analytics made easy",https://robinpowered.com/,,,,,,,,,,,,,Yes,,"$29,100,000.00",,Not Complete,,,FALSE,FALSE,"FirstMark, Tola Capital, Accomplice, Boldstart",,0.3,,0,,0.7,,0,0,Not Complete
Mixmax,"Allows you to send engaging emails with instant scheduling, free unlimited email tracking, polls, and surveys right in Gmail",https://mixmax.com/,,,,,,,,,,,,,Yes,,"$13,400,000.00",,Not Complete,,,FALSE,FALSE,"Creandum, Jason Lemkin, Designer Fund, Floodgate, Ram Shriram",,0.3,,0,,0.7,,0,0,Not Complete
Clockwise,"Transforms people’s days, turning what they have — 15 minutes to work here, 30 minutes there — into what they need: uninterrupted blocks of time to focus",https://www.getclockwise.com/,,,,,,,,,,,,,Yes,,"$13,400,000.00",,Not Complete,,,FALSE,FALSE,"Accel, Greylock, Slack Fund, Michael Ovitz, Soraya Darabi, SV Angel",,0.3,,0,,0.7,,0,0,Not Complete
Fellow,"Employee-management software that makes meetings more effective by organizing notes, action items, and feedback.",https://fellow.app/,,,,,,,,,,,,,Yes,,"$6,500,000.00",,Not Complete,,,FALSE,FALSE,"Felicis Ventures, Inovia Capital",,0.3,,0,,0.7,,0,0,Not Complete
Woven,Upgrades your existing calendars with powerful and elegantly designed tools to help you use your time effectively without spending hours in your calendar,https://woven.com/,,,,,,,,,,,,,Yes,,"$4,800,000.00",,Not Complete,,,FALSE,FALSE,"Felicis Ventures, Amplify Partners, Battery",,0.3,,0,,0.7,,0,0,Not Complete
Time is Ltd.,Analyses your company's calendars and makes suggestions on how to be more productive on a group basis & individual basis,http://www.timeisltd.com/,,,,,,,,,,,,,Yes,,"$3,300,000.00",,Not Complete,,,FALSE,FALSE,"Accel, Mike Chalfen",,0.3,,0,,0.7,,0,0,Not Complete
Humble Dot,"Saves managers time and hassle by keeping their team in sync: easily share priorities, wins, and blockers",https://humbledot.com/,,,,,,,,,,,,,Yes,,"$3,100,000.00",,Not Complete,,,FALSE,FALSE,"Susa Ventures, Haystack, TenOneTen, Afore Capital, WorkLife Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Zynq,"Automatically picks the time and room for meetings. It works on top of Chrome and Google Calendar, so there's no need to change the calendar app",https://zynq.io/,,,,,,,,,,,,,Yes,,"$200,000.00",,Not Complete,,,FALSE,FALSE,YCombinator,,0.3,,0,,0.7,,0,0,Not Complete
Calendly,Helps you schedule meetings without the back-and-forth emails,https://calendly.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,Atlanta Ventures,,0.3,,0,0,0.7,,0,0,Not Complete
Reclaim.ai,"Maps your time to the priorities that matter to you, automatically generating an optimized calendar that takes back hours of your week for critical work",https://reclaim.ai/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Qordoba,"(Slightly off-topic but not really) AI writing assistant for businesses, helping everyone at a company write with the same style, terminology, and brand voice",https://qordoba.com/,,,,,,,,,,,,,Yes,,"$21,500,000.00",,Not Complete,,,FALSE,FALSE,"Michael Stoppelman, Upfront Ventures, Aspect Ventures, Broadway Angels",,0.3,,0,,0.7,,0,0,Not Complete
Magic,24/7 SMS based on-demand personal assistant service.,https://getmagic.com/,,,,,,,,,,,,,Yes,,"$12,100,000.00",,Not Complete,,,FALSE,FALSE,"Sequoia, Slow Ventures, YCombinator",,0.3,,0,,0.7,,0,0,Not Complete
Double,Connects busy executives with experienced human assistants and great tech to save hours every day,https://withdouble.com/,,,,,,,,,,,,,Yes,,"$6,000,000.00",,Not Complete,,,FALSE,FALSE,"Index Ventures, Daphni",,0.3,,0,,0.7,,0,0,Not Complete
Memory,"AI-powered time tracking and planning tools, coupled with a personal assistant for deep work, blocking notifications automatically",https://memory.ai/,,,,,,,,,,,,,Yes,,"$6,000,000.00",,Not Complete,,,FALSE,FALSE,"500 Startups, Concentric",,0.3,,0,,0.7,,0,0,Not Complete
Invisible,"Helps you scale essential routines / ops and dynamically prices work to get you what you need, when you need it",https://inv.tech/,,,,,,,,,,,,,Yes,,"$2,600,000.00",,Not Complete,,,FALSE,FALSE,"Backed VC, Day One Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Base,SaaS platform built specifically to streamline the day-to-day responsibilities of executive assistants,https://basehq.com/,,,,,,,,,,,,,Yes,,"$2,600,000.00",,Not Complete,,,FALSE,FALSE,"Slack Fund, High Alpha, Matchstick Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Monaru,(Slightly off-topic but not really) A virtual assistant that helps people build deeper connections with the people they really care about,https://www.monaru.io/index.html,,,,,,,,,,,,,Yes,,"$200,000.00",,Not Complete,,,FALSE,FALSE,YCombinator,,0.3,,0,,0.7,,0,0,Not Complete
Workfront,"Enterprise Work Management solution that helps enterprise teams conquer the chaos of excessive email, redundant status meetings, and disconnected tools",https://www.workfront.com/,,,,,,,,,,,,,Yes,,"$3,750,000.00",,Not Complete,,,FALSE,FALSE,"OpenView, Greenspring Associates, JMI Equity",,0.3,,0,,0.7,,0,0,Not Complete
Airtable,Cloud-based tool that blends a traditional spreadsheet with a database,https://airtable.com/,,,,,,,,,,,,,Yes,,"$170,000.00",,Not Complete,,,FALSE,FALSE,"Thrive Capital, Caffeinated Capital, Benchmark, CRV, Coatue",,0.3,,0,,0.7,,0,0,Not Complete
Notion,"all-in-one workplace, where teams can write notes, track projects, build spreadsheets and databases, and get organized",https://www.notion.so/,,,,,,,,,,,,,Yes,,"$6,000,000.00",,Not Complete,,,FALSE,FALSE,"Index Ventures, Daniel Gross, Elad Gil, Naval Ravikant, Josh Kopelman",,0.3,,0,,0.7,,0,0,Not Complete
Coda,Creates online documents and the utility of applications into a single new canvas,https://coda.io/welcome,,,,,,,,,,,,,Yes,,"$60,000,000.00",,Not Complete,,,FALSE,FALSE,"Greylock, General Catalyst, Khosla Ventures, NEA, Kleiner Perkins",,0.3,,0,,0.7,,0,0,Not Complete
Guru,"Uses browser extensions and Slack plugins to make sure the information that workers need to do their jobs ""finds nds them wherever they need it""",https://www.getguru.com/,,,,,,,,,,,,,Yes,,"$40,700,000.00",,Not Complete,,,FALSE,FALSE,"Thrive Capital, Slack Fund, FirstMark, Emergence, Salesforce Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Templafy,"Assists enterprise employees in each stage of the document creation workflow, delivering productive and compliant ways of working in office applications",https://www.templafy.com/,,,,,,,,,,,,,Yes,,"$36,000,000.00",,Not Complete,,,FALSE,FALSE,"Insight Partners, Dawn Capital, Seed Capital, PreSeed Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Bloomfire,Knowledge sharing platform that enables employees to quickly find the information they need to do their jobs,https://bloomfire.com/,,,,,,,,,,,,,Yes,,"$32,800,000.00",,Not Complete,,,FALSE,FALSE,"Austin Ventures, Silver Creek Ventures, Redpoint",,0.3,,0,,0.7,,0,0,Not Complete
Onna,"Data integration platform for organizations that connects to emerging apps, such as JIRA, Confluence, and Slack",https://onna.com/,,,,,,,,,,,,,Yes,,"$16,000,000.00",,Not Complete,,,FALSE,FALSE,"Dawn Capital, Nauta Capital, Slack Fund, Dropbox",,0.3,,0,,0.7,,0,0,Not Complete
Slite,"Where modern teams write and organize their content: meeting notes, processes, how to's, collaborative docs and more",https://slite.com/,,,,,,,,,,,,,Yes,,"$15,000,000.00",,Not Complete,,,FALSE,FALSE,"Spark Capital, eFounders, YCombinator, Index Ventures, Nicolas Dessaigne",,0.3,,0,,0.7,,0,0,Not Complete
ChartHop,"A management app that aims to modernize and automate a company's organizational chart, making the whole process more transparent.",https://www.charthop.com/,,,,,,,,,,,,,Yes,,"$5,000,000.00",,Not Complete,,,FALSE,FALSE,"Andreessen Horowitz, WorkLife Ventures, Cowboy Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Grid,"Enables you to instantly turn any spreadsheet into a beautiful, interactive web document that can be securely shared online",https://www.grid.is/,,,,,,,,,,,,,Yes,,"$4,600,000.00",,Not Complete,,,FALSE,FALSE,"Blueyard Capital, Acequia Capital, Slack Fund, Futuristic.vc, Charlie Songhurst",,0.3,,0,,0.7,,0,0,Not Complete
Clarisights,"The ""decision platform"" for growth: realtime, interactive and contextual reporting for high performance marketing teams",https://www.clarisights.com/,,,,,,,,,,,,,Yes,,"$2,300,000.00",,Not Complete,,,FALSE,FALSE,"The Family, Techstars, Cavalry Ventures, Angel Invest",,0.3,,0,,0.7,,0,0,Not Complete
3Kongjian,3Kongjian is an online marketplace to find home interior designers. Users can find the portfolio and the designs offered by various designers on the platform and book their services. Has reviews and ratings for each designer based on which users can curate their results. Records feedback from the past customers and keeps the new users intimated about designer's track record. Also takes a security deposit from the designers to make sure that he/she will not back out in the middle of the job.,https://www.3kongjian.com/city/?redirect=/,Space Management​,Furnishings & Appliances​,(1) New services for a new age,,,,,,2014,0,China,Asia,Yes,Series A,"$10,000,000.00",,Emerging,Ritik,,TRUE,FALSE,"Eurazeo
 Bpifrance
 First Bridge Ventures
 Fuse Venture Partners
 DN Capital
 360 Capital Partners
 BNP Paribas Developpement
 Harbert Management
 Partech Partners
 Claret Capital Partners",1,0.3,1,0,0.4,0.7,,0,0.58,Emerging
Journal,"Gives individuals and groups a focused “space” to find, remember, and share all the information they need to have fun and do good work",https://usejournal.com/,,,,,,,,,,,,,Yes,,"$1,500,000.00",,Not Complete,,,FALSE,FALSE,Social Capital,,0.3,,0,,0.7,,0,0,Not Complete
Sheetgo,"No-code automation tool for office teams: create custom workflows to collect, manage and share data — all from a spreadsheet.",https://www.sheetgo.com/,,,,,,,,,,,,,Yes,,"$1,400,000.00",,Not Complete,,,FALSE,FALSE,"Caixa Capital, Angels Capital",,0.3,,0,,0.7,,0,0,Not Complete
Actiondesk,"Spreadsheet software that lets you import and refresh data from SQL, Stripe, Salesforce, Hubspot and more",https://www.actiondesk.io/,,,,,,,,,,,,,Yes,,"$200,000.00",,Not Complete,,,FALSE,FALSE,"YCombinator, Speedinvest",,0.3,,0,,0.7,,0,0,Not Complete
Graphy,"Data collaboration in a visual, fun and flexible way; a place for your team to create interactive dashboards, loaded with data from the apps you already use",https://graphyapp.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,La Famiglia,,0.3,,0,0,0.7,,0,0,Not Complete
Anytype,"Software that breaks down barriers between applications, gives back privacy and data ownership to users. Like Notion, but centred around privacy",https://anytype.io/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,Techstars,,0.3,,0,0,0.7,,0,0,Not Complete
Roam Research,A note-taking tool for networked thought: as easy to use as a document; as powerful as a graph database. Helps you organize your research for the long haul,https://roamresearch.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,"Chapter One, Erik Torenberg",,0.3,,0,0,0.7,,0,0,Not Complete
Almanac,"The workspace for your team's knowledge, to take notes, share docs, and stay organized",https://askalmanac.com/home,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,WorkLife Ventures,,0.3,,0,0,0.7,,0,0,Not Complete
Howspace,Allows you & your team to empower the whole business by collaborating on professional learning and organizational development initiatives,https://www.howspace.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Algolia,"""Search-as-a-service"" and full suite of APIs allowing teams to easily develop
tailored, fast search and discovery experiences that convert more",https://www.algolia.com/,,,,,,,,,,,,,Yes,,"$184,500,000.00",,Not Complete,,,FALSE,FALSE,"Accel, Storm Ventures, The Family, Alven, Point Nine, Aglaé Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Forethought,AI powered products that proactively embed relevant information into employees' daily workflows. Using search to help Customer Support,https://www.forethought.ai/,,,,,,,,,,,,,Yes,,"$10,000,000.00",,Not Complete,,,FALSE,FALSE,"NEA, Mathilde Collin, Village Global, K9, South Park Commons, WorkLife Ventures",,0.3,,0,,0.7,,0,0,Not Complete
Happeo,Combines a digital workplace and collaboration platform with a social intranet,https://www.happeo.com/,,,,,,,,,,,,,Yes,,"$8,000,000.00",,Not Complete,,,FALSE,FALSE,"Maki.vc, DN Capital, Vendep Capital",,0.3,,0,,0.7,,0,0,Not Complete
3Kongjian,3Kongjian is an online marketplace to find home interior designers. Users can find the portfolio and the designs offered by various designers on the platform and book their services. Has reviews and ratings for each designer based on which users can curate their results. Records feedback from the past customers and keeps the new users intimated about designer's track record. Also takes a security deposit from the designers to make sure that he/she will not back out in the middle of the job.,https://www.3kongjian.com/city/?redirect=/,Space Management​,Space Design & Management​,(4) Managing the formation and operations of a space,,,,,,2014,0,China,Asia,Yes,Series A,"$10,000,000.00",,Emerging,Glaiza,,TRUE,FALSE,,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging
Station,One app to rule them all: the first smart browser for busy people. A single place for all of your web applications,https://getstation.com/,,,,,,,,,,,,,Yes,,"$3,600,000.00",,Not Complete,,,FALSE,FALSE,"eFounders, YCombinator, Abstract Ventures, Kima Ventures, Accel",,0.3,,0,,0.7,,0,0,Not Complete
Slapdash,"The ""operating system"" for work: brings all your apps together to let you find, organize and do things in seconds, not minutes.",https://slapdash.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,YCombinator,,0.3,,0,0,0.7,,0,0,Not Complete
Onlim,Conversational AI platform that lets you build chatbots & voice assistants relying on your company's knowledge platform,https://onlim.com/en/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Veamly,"Centralizes all your work in one place, bringing all your collaboration apps in one desktop app and all your conversations in a main feed with a unified search",https://veamly.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,N.a.,,0.3,,0,0,0.7,,0,0,Not Complete
Command E,"The faster way to navigate your workspace: an easy keyboard shortcut to open any document, contact, file or record from the cloud",https://getcommande.com/,,,,,,,,,,,,,No,Unfunded,$0.00,,Not Complete,,,FALSE,FALSE,WorkLife Ventures,,0.3,,0,0,0.7,,0,0,Not Complete
